QML,QASM,Real_device,Y_true
0.3960780728245246,0.392578125,-0.033203125,1
-0.07090077234291503,-0.041015625,0.1484375,0
0.5604043680993337,0.568359375,0.23828125,1
0.2341544886509535,0.26953125,0.17578125,1
0.17187300946403006,0.130859375,0.0625,1
-0.12555281145221284,-0.107421875,0.1640625,0
-0.315573923337574,-0.27734375,0.134765625,0
-0.1746060419178455,-0.078125,0.037109375,0
0.21227606993656536,0.28125,0.068359375,1
0.22564711852711766,0.244140625,0.21484375,1
0.31853823137464493,0.34765625,0.1015625,1
-0.13880747469349314,-0.16015625,-0.068359375,0
-0.1587622488334607,-0.150390625,0.087890625,0
-0.2901725412925633,-0.306640625,0.380859375,0
0.11285334451633947,0.09765625,0.091796875,1
0.3191802676720389,0.30078125,0.0625,0
0.3871549285734921,0.37890625,0.0234375,1
-0.22204761868381498,-0.19140625,0.24609375,0
0.22939128652647506,0.2265625,-0.064453125,1
-0.2135607064699264,-0.228515625,0.025390625,0
